2023-04-01 16:33:56,585 | 1.1.0 | INFO | ibmfl.util.config                             | Getting details from config file.
2023-04-01 16:35:32,639 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:517: The name tf.placeholder is deprecated. Please use tf.compat.v1.placeholder instead.

2023-04-01 16:35:32,643 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:4138: The name tf.random_uniform is deprecated. Please use tf.random.uniform instead.

2023-04-01 16:35:32,665 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:3976: The name tf.nn.max_pool is deprecated. Please use tf.nn.max_pool2d instead.

2023-04-01 16:35:32,666 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:133: The name tf.placeholder_with_default is deprecated. Please use tf.compat.v1.placeholder_with_default instead.

2023-04-01 16:35:32,673 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:3445: calling dropout (from tensorflow.python.ops.nn_ops) with keep_prob is deprecated and will be removed in a future version.
Instructions for updating:
Please use `rate` instead of `keep_prob`. Rate should be set to `rate = 1 - keep_prob`.
2023-04-01 16:35:32,740 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:174: The name tf.get_default_session is deprecated. Please use tf.compat.v1.get_default_session instead.

2023-04-01 16:35:32,740 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:181: The name tf.ConfigProto is deprecated. Please use tf.compat.v1.ConfigProto instead.

2023-04-01 16:35:32,741 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:190: The name tf.global_variables is deprecated. Please use tf.compat.v1.global_variables instead.

2023-04-01 16:35:32,741 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:199: The name tf.is_variable_initialized is deprecated. Please use tf.compat.v1.is_variable_initialized instead.

2023-04-01 16:35:32,789 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:206: The name tf.variables_initializer is deprecated. Please use tf.compat.v1.variables_initializer instead.

2023-04-01 16:35:32,831 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/keras/optimizers.py:790: The name tf.train.Optimizer is deprecated. Please use tf.compat.v1.train.Optimizer instead.

2023-04-01 16:35:32,836 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:3295: The name tf.log is deprecated. Please use tf.math.log instead.

2023-04-01 16:35:32,849 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | RestSender initialized
2023-04-01 16:35:32,852 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Receiver Initialized
2023-04-01 16:35:32,852 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Initializing Flask application
2023-04-01 16:35:32,855 | 1.1.0 | INFO | __main__                                      | Party initialization successful
2023-04-01 16:35:48,642 | 1.1.0 | INFO | ibmfl.util.config                             | Getting config from file
2023-04-01 16:35:48,642 | 1.1.0 | INFO | ibmfl.util.config                             | Getting details from config file.
2023-04-01 16:35:49,724 | 1.1.0 | INFO | ibmfl.util.config                             | No metrics recorder config provided for this setup.
2023-04-01 16:35:52,912 | 1.1.0 | INFO | ibmfl.util.config                             | No metrics config provided for this setup.
2023-04-01 16:35:52,913 | 1.1.0 | INFO | ibmfl.util.config                             | No evidencia recordeer config provided for this setup.
2023-04-01 16:35:52,913 | 1.1.0 | INFO | ibmfl.util.data_handlers.mnist_keras_data_handler | Loaded training data from examples/data/mnist/random/data_party1.npz
2023-04-01 16:35:52,955 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/ibmfl/model/keras_fl_model.py:59: The name tf.get_default_graph is deprecated. Please use tf.compat.v1.get_default_graph instead.

2023-04-01 16:35:52,956 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/ibmfl/model/keras_fl_model.py:60: The name tf.Session is deprecated. Please use tf.compat.v1.Session instead.

2023-04-01 16:35:52,976 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:517: The name tf.placeholder is deprecated. Please use tf.compat.v1.placeholder instead.

2023-04-01 16:35:52,977 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:4138: The name tf.random_uniform is deprecated. Please use tf.random.uniform instead.

2023-04-01 16:35:52,997 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:3976: The name tf.nn.max_pool is deprecated. Please use tf.nn.max_pool2d instead.

2023-04-01 16:35:52,999 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:133: The name tf.placeholder_with_default is deprecated. Please use tf.compat.v1.placeholder_with_default instead.

2023-04-01 16:35:53,006 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:3445: calling dropout (from tensorflow.python.ops.nn_ops) with keep_prob is deprecated and will be removed in a future version.
Instructions for updating:
Please use `rate` instead of `keep_prob`. Rate should be set to `rate = 1 - keep_prob`.
2023-04-01 16:35:53,070 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:174: The name tf.get_default_session is deprecated. Please use tf.compat.v1.get_default_session instead.

2023-04-01 16:35:53,070 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:181: The name tf.ConfigProto is deprecated. Please use tf.compat.v1.ConfigProto instead.

2023-04-01 16:35:53,070 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:190: The name tf.global_variables is deprecated. Please use tf.compat.v1.global_variables instead.

2023-04-01 16:35:53,070 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:199: The name tf.is_variable_initialized is deprecated. Please use tf.compat.v1.is_variable_initialized instead.

2023-04-01 16:35:53,086 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:206: The name tf.variables_initializer is deprecated. Please use tf.compat.v1.variables_initializer instead.

2023-04-01 16:35:53,126 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/keras/optimizers.py:790: The name tf.train.Optimizer is deprecated. Please use tf.compat.v1.train.Optimizer instead.

2023-04-01 16:35:53,131 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:3295: The name tf.log is deprecated. Please use tf.math.log instead.

2023-04-01 16:35:53,143 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | RestSender initialized
2023-04-01 16:35:53,146 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Receiver Initialized
2023-04-01 16:35:53,147 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Initializing Flask application
2023-04-01 16:35:53,151 | 1.1.0 | INFO | __main__                                      | Party initialization successful
2023-04-01 16:36:19,338 | 1.1.0 | INFO | root                                          | State: States.CLI_WAIT
2023-04-01 16:36:19,338 | 1.1.0 | INFO | __main__                                      | Aggregator start successful
2023-04-01 16:36:19,341 | 1.1.0 | INFO | werkzeug                                      |  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2023-04-01 16:36:34,118 | 1.1.0 | INFO | __main__                                      | Party start successful
2023-04-01 16:36:34,120 | 1.1.0 | INFO | werkzeug                                      |  * Running on http://127.0.0.1:8085/ (Press CTRL+C to quit)
2023-04-01 16:36:38,480 | 1.1.0 | INFO | __main__                                      | Registering party...
2023-04-01 16:36:38,489 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-01 16:36:38,491 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id cdc14bf1-4e12-4358-9586-bb0668dc65a9
2023-04-01 16:36:38,491 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:1
2023-04-01 16:36:38,492 | 1.1.0 | INFO | werkzeug                                      | 127.0.0.1 - - [01/Apr/2023 16:36:38] "POST /6 HTTP/1.1" 200 -
2023-04-01 16:36:38,494 | 1.1.0 | INFO | __main__                                      | Registration Successful
2023-04-01 16:36:43,325 | 1.1.0 | INFO | __main__                                      | Party start successful
2023-04-01 16:36:43,327 | 1.1.0 | INFO | werkzeug                                      |  * Running on http://127.0.0.1:8086/ (Press CTRL+C to quit)
2023-04-01 16:36:46,052 | 1.1.0 | INFO | __main__                                      | Registering party...
2023-04-01 16:36:46,061 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-01 16:36:46,061 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 3975183a-8692-4b08-b4c6-182c443a882a
2023-04-01 16:36:46,061 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:2
2023-04-01 16:36:46,062 | 1.1.0 | INFO | werkzeug                                      | 127.0.0.1 - - [01/Apr/2023 16:36:46] "POST /6 HTTP/1.1" 200 -
2023-04-01 16:36:46,063 | 1.1.0 | INFO | __main__                                      | Registration Successful
2023-04-01 16:36:57,232 | 1.1.0 | INFO | root                                          | State: States.TRAIN
2023-04-01 16:36:57,232 | 1.1.0 | INFO | __main__                                      | Initiating Global Training.
2023-04-01 16:36:57,232 | 1.1.0 | INFO | ibmfl.aggregator.fusion.fusion_handler        | Warm start disabled.
2023-04-01 16:36:57,232 | 1.1.0 | INFO | ibmfl.aggregator.fusion.iter_avg_fusion_handler | Model updateNone
2023-04-01 16:36:57,232 | 1.1.0 | INFO | ibmfl.aggregator.fusion.fusion_state_service  | Fusion state States.SND_MODEL
2023-04-01 16:36:57,233 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | State: States.SND_REQ
2023-04-01 16:36:57,245 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :7
2023-04-01 16:36:57,245 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :7
2023-04-01 16:36:57,246 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | received a async request
2023-04-01 16:36:57,246 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | received a async request
2023-04-01 16:36:57,246 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | finished async request
2023-04-01 16:36:57,247 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | finished async request
2023-04-01 16:36:57,247 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | Handling async request in a separate thread
2023-04-01 16:36:57,247 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | Handling async request in a separate thread
2023-04-01 16:36:57,247 | 1.1.0 | INFO | werkzeug                                      | 127.0.0.1 - - [01/Apr/2023 16:36:57] "POST /7 HTTP/1.1" 200 -
2023-04-01 16:36:57,248 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | Received request from aggregator
2023-04-01 16:36:57,248 | 1.1.0 | INFO | werkzeug                                      | 127.0.0.1 - - [01/Apr/2023 16:36:57] "POST /7 HTTP/1.1" 200 -
2023-04-01 16:36:57,248 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | Received request from aggregator
2023-04-01 16:36:57,248 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | Received request in with message_type:  7
2023-04-01 16:36:57,248 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | Received request in with message_type:  7
2023-04-01 16:36:57,248 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | Received request in PH 7
2023-04-01 16:36:57,248 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | Received request in PH 7
2023-04-01 16:36:57,248 | 1.1.0 | INFO | ibmfl.party.training.local_training_handler   | No model update was provided.
2023-04-01 16:36:57,249 | 1.1.0 | INFO | ibmfl.party.training.fedavg_local_training_handler | Local training started...
2023-04-01 16:36:57,249 | 1.1.0 | INFO | ibmfl.party.training.local_training_handler   | No model update was provided.
2023-04-01 16:36:57,249 | 1.1.0 | INFO | ibmfl.model.keras_fl_model                    | Training hps for this round => batch_size: 128, epochs 3, steps_per_epoch 100
2023-04-01 16:36:57,249 | 1.1.0 | INFO | ibmfl.party.training.fedavg_local_training_handler | Local training started...
2023-04-01 16:36:57,249 | 1.1.0 | INFO | ibmfl.model.keras_fl_model                    | Training hps for this round => batch_size: 128, epochs 3, steps_per_epoch 100
2023-04-01 16:36:57,312 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/tensorflow_core/python/ops/math_grad.py:1424: where (from tensorflow.python.ops.array_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.where in 2.0, which has the same broadcast rule as np.where
2023-04-01 16:36:57,313 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/tensorflow_core/python/ops/math_grad.py:1424: where (from tensorflow.python.ops.array_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.where in 2.0, which has the same broadcast rule as np.where
2023-04-01 16:36:57,336 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of success responses :2
2023-04-01 16:36:57,336 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Number of parties queried:2
2023-04-01 16:36:57,336 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Number of registered parties:2
2023-04-01 16:36:57,336 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | State: States.QUORUM_WAIT
2023-04-01 16:36:57,425 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:986: The name tf.assign_add is deprecated. Please use tf.compat.v1.assign_add instead.

2023-04-01 16:36:57,425 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:986: The name tf.assign_add is deprecated. Please use tf.compat.v1.assign_add instead.

2023-04-01 16:36:57,428 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:973: The name tf.assign is deprecated. Please use tf.compat.v1.assign instead.

2023-04-01 16:36:57,428 | 1.1.0 | WARNING | tensorflow                                    | From /Users/armaghan/opt/anaconda3/envs/ibm_fl/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:973: The name tf.assign is deprecated. Please use tf.compat.v1.assign instead.

2023-04-01 16:37:01,753 | 1.1.0 | INFO | ibmfl.party.training.fedavg_local_training_handler | Local training done, generating model update...
2023-04-01 16:37:01,754 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | successfully finished async request
2023-04-01 16:37:01,756 | 1.1.0 | INFO | ibmfl.party.training.fedavg_local_training_handler | Local training done, generating model update...
2023-04-01 16:37:01,756 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | successfully finished async request
2023-04-01 16:37:01,805 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :7
2023-04-01 16:37:01,807 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :7
2023-04-01 16:37:01,880 | 1.1.0 | INFO | werkzeug                                      | 127.0.0.1 - - [01/Apr/2023 16:37:01] "POST /7 HTTP/1.1" 200 -
2023-04-01 16:37:01,944 | 1.1.0 | INFO | werkzeug                                      | 127.0.0.1 - - [01/Apr/2023 16:37:01] "POST /7 HTTP/1.1" 200 -
2023-04-01 16:37:02,338 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Timeout:60 Time spent:5
2023-04-01 16:37:02,338 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | State: States.PROC_RSP
2023-04-01 16:37:02,339 | 1.1.0 | INFO | ibmfl.aggregator.fusion.fusion_state_service  | Fusion state States.RCV_MODEL
2023-04-01 16:37:02,339 | 1.1.0 | INFO | ibmfl.aggregator.fusion.fusion_state_service  | Fusion state States.AGGREGATING
2023-04-01 16:37:02,354 | 1.1.0 | INFO | ibmfl.aggregator.fusion.iter_avg_fusion_handler | Model update<ibmfl.model.model_update.ModelUpdate object at 0x7fabbbbd0eb8>
2023-04-01 16:37:02,354 | 1.1.0 | INFO | ibmfl.aggregator.fusion.fusion_state_service  | Fusion state States.SND_MODEL
2023-04-01 16:37:02,354 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | State: States.SND_REQ
2023-04-01 16:37:02,444 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :7
2023-04-01 16:37:02,444 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :7
2023-04-01 16:37:02,485 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | received a async request
2023-04-01 16:37:02,485 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | finished async request
2023-04-01 16:37:02,486 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | received a async request
2023-04-01 16:37:02,486 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | finished async request
2023-04-01 16:37:02,486 | 1.1.0 | INFO | werkzeug                                      | 127.0.0.1 - - [01/Apr/2023 16:37:02] "POST /7 HTTP/1.1" 200 -
2023-04-01 16:37:02,487 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | Handling async request in a separate thread
2023-04-01 16:37:02,486 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | Handling async request in a separate thread
2023-04-01 16:37:02,487 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | Received request from aggregator
2023-04-01 16:37:02,487 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | Received request in with message_type:  7
2023-04-01 16:37:02,487 | 1.1.0 | INFO | werkzeug                                      | 127.0.0.1 - - [01/Apr/2023 16:37:02] "POST /7 HTTP/1.1" 200 -
2023-04-01 16:37:02,487 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | Received request in PH 7
2023-04-01 16:37:02,487 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | Received request from aggregator
2023-04-01 16:37:02,488 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | Received request in with message_type:  7
2023-04-01 16:37:02,488 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | Received request in PH 7
2023-04-01 16:37:02,491 | 1.1.0 | INFO | ibmfl.party.training.local_training_handler   | Local model updated.
2023-04-01 16:37:02,492 | 1.1.0 | INFO | ibmfl.party.training.fedavg_local_training_handler | Local training started...
2023-04-01 16:37:02,492 | 1.1.0 | INFO | ibmfl.model.keras_fl_model                    | Training hps for this round => batch_size: 128, epochs 3, steps_per_epoch 100
2023-04-01 16:37:02,492 | 1.1.0 | INFO | ibmfl.party.training.local_training_handler   | Local model updated.
2023-04-01 16:37:02,492 | 1.1.0 | INFO | ibmfl.party.training.fedavg_local_training_handler | Local training started...
2023-04-01 16:37:02,492 | 1.1.0 | INFO | ibmfl.model.keras_fl_model                    | Training hps for this round => batch_size: 128, epochs 3, steps_per_epoch 100
2023-04-01 16:37:02,561 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of success responses :2
2023-04-01 16:37:02,561 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Number of parties queried:2
2023-04-01 16:37:02,562 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Number of registered parties:2
2023-04-01 16:37:02,563 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | State: States.QUORUM_WAIT
2023-04-01 16:37:06,346 | 1.1.0 | INFO | ibmfl.party.training.fedavg_local_training_handler | Local training done, generating model update...
2023-04-01 16:37:06,346 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | successfully finished async request
2023-04-01 16:37:06,346 | 1.1.0 | INFO | ibmfl.party.training.fedavg_local_training_handler | Local training done, generating model update...
2023-04-01 16:37:06,346 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | successfully finished async request
2023-04-01 16:37:06,398 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :7
2023-04-01 16:37:06,399 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :7
2023-04-01 16:37:06,454 | 1.1.0 | INFO | werkzeug                                      | 127.0.0.1 - - [01/Apr/2023 16:37:06] "POST /7 HTTP/1.1" 200 -
2023-04-01 16:37:06,477 | 1.1.0 | INFO | werkzeug                                      | 127.0.0.1 - - [01/Apr/2023 16:37:06] "POST /7 HTTP/1.1" 200 -
2023-04-01 16:37:07,566 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Timeout:60 Time spent:5
2023-04-01 16:37:07,567 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | State: States.PROC_RSP
2023-04-01 16:37:07,567 | 1.1.0 | INFO | ibmfl.aggregator.fusion.fusion_state_service  | Fusion state States.RCV_MODEL
2023-04-01 16:37:07,567 | 1.1.0 | INFO | ibmfl.aggregator.fusion.fusion_state_service  | Fusion state States.AGGREGATING
2023-04-01 16:37:07,577 | 1.1.0 | INFO | ibmfl.aggregator.fusion.iter_avg_fusion_handler | Model update<ibmfl.model.model_update.ModelUpdate object at 0x7fabbbc0df98>
2023-04-01 16:37:07,577 | 1.1.0 | INFO | ibmfl.aggregator.fusion.fusion_state_service  | Fusion state States.SND_MODEL
2023-04-01 16:37:07,577 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | State: States.SND_REQ
2023-04-01 16:37:07,666 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :7
2023-04-01 16:37:07,666 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :7
2023-04-01 16:37:07,707 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | received a async request
2023-04-01 16:37:07,707 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | finished async request
2023-04-01 16:37:07,707 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | received a async request
2023-04-01 16:37:07,707 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | finished async request
2023-04-01 16:37:07,708 | 1.1.0 | INFO | werkzeug                                      | 127.0.0.1 - - [01/Apr/2023 16:37:07] "POST /7 HTTP/1.1" 200 -
2023-04-01 16:37:07,708 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | Handling async request in a separate thread
2023-04-01 16:37:07,708 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | Received request from aggregator
2023-04-01 16:37:07,707 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | Handling async request in a separate thread
2023-04-01 16:37:07,708 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | Received request in with message_type:  7
2023-04-01 16:37:07,708 | 1.1.0 | INFO | werkzeug                                      | 127.0.0.1 - - [01/Apr/2023 16:37:07] "POST /7 HTTP/1.1" 200 -
2023-04-01 16:37:07,709 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | Received request in PH 7
2023-04-01 16:37:07,708 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | Received request from aggregator
2023-04-01 16:37:07,709 | 1.1.0 | INFO | ibmfl.party.party_protocol_handler            | Received request in with message_type:  7
